,adjlist.py,base.py,base.py,chemkin.py,nodes.py,nodes.py,surfaces.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
10,0.497213,0.291505,0.417865,0.0,0.125314,0.144578,0.0,0.150756,0.330021,2.295522,0.148464,0.0,0.350071,0.0,0.159635,0.0,0.480212,0.142334,0.23896,0.456497,0.0,0.109118
11,0.736434,0.366698,0.516988,0.0,0.137717,0.159016,0.0,0.17898,0.389963,2.54524,0.177394,0.0,0.503967,0.0,0.20054,0.0,0.659605,0.156808,0.277328,0.547857,0.0,0.121087
12,1.05429,0.537607,0.672452,0.0,0.15038,0.173209,0.0,0.21307,0.489882,2.782485,0.213105,0.0,0.714549,0.0,0.276843,0.0,0.96102,0.171399,0.331815,0.687517,0.0,0.132201
13,1.630734,0.959148,1.171514,0.0,0.162793,0.18752,0.0,0.266225,0.698583,3.021777,0.26705,0.978442,1.098078,0.0,0.507565,0.0,1.881192,0.185419,0.411686,0.814932,0.0,0.145289
14,2.319788,1.169811,1.380657,0.0,0.175168,0.202043,0.60509,0.318359,0.822104,3.259401,0.34526,1.049465,1.542735,0.0,0.604227,0.0,2.257799,0.200615,0.471829,0.987745,0.0,0.159586
15,3.066213,1.264789,1.534283,0.0,0.18756,0.216361,0.64912,0.37008,0.906584,3.49708,0.412865,1.095522,2.013548,0.0,0.667418,0.0,2.472083,0.215635,0.524139,1.201038,0.72545,0.173571
16,3.896896,1.434337,1.708169,0.0,0.199854,0.230736,0.749811,0.430548,1.024107,3.734651,0.488146,1.150142,2.548299,0.0,0.742825,0.0,2.718091,0.229818,0.590452,1.435237,0.914319,0.188006
17,4.809201,1.555853,1.919776,0.0,0.212294,0.245023,0.803239,0.492539,1.126849,3.972656,0.58163,1.20979,3.133323,0.0,0.823904,0.0,2.954607,0.244504,0.649758,1.699917,1.107378,0.203396
18,5.881298,1.86211,2.218696,0.0,0.224627,0.259541,1.011173,0.569081,1.306508,4.211991,1.380711,1.30467,3.823139,0.0,0.959336,0.0,3.498305,0.259169,0.736253,1.949984,1.363659,0.218679
19,7.040435,2.050225,2.459748,0.0,0.23694,0.273635,1.135739,0.647287,1.445398,4.450275,1.483796,1.37852,4.565915,0.0,1.060427,0.0,3.810242,0.273472,0.811107,2.255056,1.631755,0.233617
20,8.455245,2.714743,2.961972,0.0,0.249509,0.28803,1.492261,0.752799,1.780477,4.693515,1.60881,2.208881,5.497828,0.0,1.290149,0.0,4.668158,0.287384,0.934912,2.567642,2.010114,0.250113
21,10.105255,3.187726,3.39931,0.0,0.262037,0.302503,1.812194,0.865166,2.046666,4.932515,1.769026,2.366875,6.5376,0.0,1.493963,0.0,5.410374,0.303046,1.044491,2.928026,2.434147,0.268303
22,12.054094,3.739734,3.987426,0.0,0.274528,0.316883,2.145645,0.995066,2.35292,5.173841,2.138176,2.594451,7.776783,0.0,1.779922,0.0,6.477595,0.318238,1.163942,3.41261,2.959282,0.289042
23,14.342774,4.058812,4.543244,0.0,0.289526,0.33413,2.265187,1.129912,2.577358,5.411071,2.34397,2.786298,9.204102,0.0,2.01204,0.0,7.400248,0.333145,1.241705,3.872399,3.440732,0.309291
24,17.014185,4.926406,5.400391,0.0,0.302197,0.348464,2.845548,1.293307,3.020352,5.653176,2.569593,4.000941,10.88633,0.0,2.462015,0.0,9.554263,0.347145,1.386384,4.319627,4.122537,0.331365
25,21.018581,8.337705,8.014268,0.0,0.314575,0.362669,4.342844,1.534688,4.439219,5.8906,2.893846,6.202242,13.513941,5.47166,4.098942,5.905848,16.650954,0.360484,1.659335,4.862463,5.331298,0.355185
26,25.998105,10.0872,9.977239,6.27672,0.326861,0.377024,5.252481,1.794846,5.267756,6.128175,3.293104,7.106271,16.690892,7.851799,5.149409,7.232057,21.221639,0.373513,1.878979,5.629937,6.592317,0.38095
27,30.734207,10.0872,9.977239,6.27672,0.339313,0.391235,5.252481,2.005637,5.404875,6.367701,3.678972,7.106271,19.58663,7.851799,5.149409,7.232057,21.221639,0.387855,1.946353,6.453546,7.648322,0.413328
