,adjlist.py,chemkin.py,nodes.py,nodes.py,poll.py,surfaces.py,weakref.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~
17,4.789632,0.0,0.210121,0.246557,3.81714,0.786601,0.190687,0.478997,0.544795,0.726229,3.980222,3.060987,0.697484,0.0,0.247377,0.498413,1.724685,0.663137,0.0,1.09342,0.190953
18,5.849968,0.0,0.222431,0.260671,3.992731,0.982536,0.202896,0.550819,0.612114,0.888864,4.216866,3.731713,0.718489,0.741441,0.261665,0.546789,1.96934,0.81079,0.0,1.347048,0.205221
19,7.002015,0.0,0.234889,0.274866,4.144079,1.110861,0.215538,0.626416,0.677521,1.063811,4.458251,4.465854,0.735323,0.88873,0.276313,0.597439,2.26388,0.972591,0.0,1.614512,0.221063
20,8.397777,0.0,0.247286,0.289176,4.174481,1.47904,0.228072,0.725729,0.772494,1.276247,4.697491,5.351665,0.801936,1.078684,0.289963,0.650181,2.543161,1.16733,1.089755,1.994924,0.236905
21,10.031158,0.0,0.259468,0.30342,4.368955,1.78029,0.240227,0.83286,0.863329,1.52595,4.937023,6.403903,0.841578,1.298901,0.303978,0.705678,2.909639,1.394538,1.340617,2.414142,0.254107
22,11.986505,0.0,0.2718,0.317759,4.483564,2.123056,0.2524,0.954155,0.968579,1.822722,5.176418,7.639893,0.889813,1.551766,0.316499,0.774229,3.429628,1.666683,1.640069,2.910146,0.272618
23,14.158758,1.98396,0.283959,0.332033,4.774064,2.230024,0.264986,1.084601,1.066954,2.155431,5.418695,9.017923,0.902706,1.826175,0.33084,0.832302,3.878127,1.971023,1.953772,3.394457,0.292987
24,16.806063,2.698581,0.296108,0.346521,5.026212,2.800268,0.277395,1.242409,1.201679,2.557716,5.656088,10.689612,0.989491,2.161094,0.343501,0.897389,4.324753,2.346159,2.350688,4.087981,0.313882
25,20.617284,4.605902,0.308412,0.360913,6.008903,4.2936,0.289487,1.455651,1.395623,3.140624,5.893478,13.124007,1.569678,2.622267,0.356842,0.977162,4.840873,2.913424,2.956803,5.259431,0.337314
26,25.319821,6.351879,0.320844,0.375371,6.395787,5.217168,0.30246,1.700439,1.58651,3.865137,6.137503,16.085936,1.765517,3.177477,0.370429,1.060986,5.576602,3.624046,3.693019,6.54231,0.363076
27,30.049636,6.351879,0.333376,0.389903,6.395787,5.217168,0.313002,1.91188,1.724969,4.587588,6.380832,19.05235,1.765517,3.72057,0.383357,1.13463,6.472744,4.327888,4.42929,7.590177,0.393324
